,price,location,num_beds,num_bath,url
1538,1800.0,southslope,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-1br-bonus-room-south/7309801573.html
1539,1800.0,southslope,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-1br-bonus-room-south/7309800862.html
1540,2922.0,parkslope,3.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-3br-balcony-laundry/7309800015.html
1541,1810.0,upperwestside,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-cozy-uws-studio/7309799577.html
1542,1953.0,parkslope,0.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-studio-balcony/7309799553.html
1543,2100.0,bedstuyj/m/z|walktobushwickin10min,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-loftstyleliving-the/7309798896.html
1544,2134.0,upperwestside,3.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-large-3br-washer-dryer/7309798892.html
1545,1842.0,upperwestside,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-2br-elevator-laundry/7309798297.html
1546,1550.0,hudsonheights,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-1br-elevator-clean/7309797109.html
1547,3600.0,,5.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-wont-last-hurry-gorgeous-bed/7309796385.html
1548,1992.0,midtowneast,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-studio-laundry/7309796247.html
1549,1675.0,chelsea,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-large-sunny-bedroom-unbeatable/7309794166.html
1550,3600.0,brooklyn,5.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-moving-fast-bed-15-bath/7309793118.html
1551,1999.0,gramercy,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-large-2br-in-gramercy-by-owner/7309793034.html
1552,1500.0,richmondhill,1.0,1.0,https://newyork.craigslist.org/que/apa/d/richmond-hill-sun-lit-forest-park/7309792515.html
1553,3600.0,brooklyn,5.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-wont-last-gorgeous-bed-15-bath/7309790911.html
1554,2725.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-high-end-br-apt/7309790764.html
1555,1550.0,harlem/morningside,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-harlem-studio-brownstone/7309790408.html
1556,1300.0,flushing,0.0,1.0,https://newyork.craigslist.org/que/apa/d/flushing-beautiful-studio1f-with-big/7309789770.html
1557,2550.0,prospectheights,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-bedroom-in-prime/7309789429.html
1558,4000.0,,4.0,2.0,https://newyork.craigslist.org/que/apa/d/fresh-meadows-house-for-rent-by-st-john/7309789262.html
1559,2100.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-high-end-br/7309784926.html
1560,2000.0,bedstye,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-modern-bedroom-brooklyn/7309784336.html
1561,2200.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-high-end-br/7309783611.html
1562,1150.0,stapleton,0.0,1.0,https://newyork.craigslist.org/stn/apa/d/staten-island-spacious-studio-apartment/7309783090.html
1563,2250.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-cozy-br/7309782097.html
1564,2555.0,elmsford,1.0,1.0,https://newyork.craigslist.org/wch/apa/d/elmsford-picture-is-worth-thousand/7309780832.html
1565,2600.0,brooklyn,4.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-high-end-br-apt/7309780205.html
1566,2000.0,brooklyn,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-high-end-br/7309777876.html
1567,1500.0,plg/flatbsuh,0.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-plg-prospect-park-beautiful/7309774551.html
1568,1850.0,prospectleffertsgardens/prospectpark,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-prospect-lefferts-gardens/7309774099.html
1569,1500.0,,1.0,1.0,https://newyork.craigslist.org/wch/apa/d/yonkers-charming-one-bedroom-in-coop/7309773455.html
1570,1995.0,yonkers,2.0,1.0,https://newyork.craigslist.org/wch/apa/d/bronx-bedroom-available-in-co-op/7309772576.html
1571,2800.0,eastharlem,2.0,2.0,https://newyork.craigslist.org/mnh/apa/d/new-york-elevator-building-bedroom/7309771802.html
1572,3500.0,willamsburg,2.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-25-foot-ceiling-laundry-in/7309771119.html
1573,4999.0,bushwick,6.0,3.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-life-size-apt-6bed-duplex/7309770369.html
1574,1650.0,bronx,1.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-bedroom-available/7309770327.html
1575,1899.0,bedstuy,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-privit-yard-access-stairwell/7309769791.html
1576,2400.0,bushwick,3.0,2.0,https://newyork.craigslist.org/brk/apa/d/ridgewood-skylight-bed-abth-yardprime/7309769422.html
1577,1900.0,regopark,1.0,1.0,https://newyork.craigslist.org/que/apa/d/rego-park-bedroom-apartment-no-fees/7309769075.html
1578,1500.0,northyonkers,1.0,1.0,https://newyork.craigslist.org/wch/apa/d/yonkers-one-bedroom/7309768487.html
